unique_key,created_date,status,complaint_type,descriptor,borough,street_name,latitude,longitude,closed_date,location_type,traffic_volume,aadt,nearby_crashes,pavement_crash_nearby,age_days,borough_code,is_highway,descriptor_severity,month_opened,risk_score,urgency_tier,urgency_label,fix_days_estimate,prob_low,prob_medium,prob_high,prob_critical
68538156,2026-04-02 15:05:24,Open,Street Condition,Pothole,MANHATTAN,HARLEM RIVER DRIVE,40.83336445148282,-73.93545603755923,,nan,16591.571428571428,97246.0,10,1,23.2429861953125,0,0,0.7,4,50.1,1,Medium,14,0.0,0.736,0.264,0.0
68538157,2026-04-02 15:04:57,Open,Street Condition,Pothole,MANHATTAN,HARLEM RIVER DRIVE,40.83247789553824,-73.93543160216241,,nan,16591.571428571428,97246.0,10,1,23.2432986953125,0,0,0.7,4,50.1,1,Medium,14,0.0,0.736,0.264,0.0
68618923,2026-04-10 12:27:34,Open,Street Condition,Pothole,STATEN ISLAND,RICHMOND AVENUE,40.58243362208295,-74.16905015973944,,nan,23788.714285714286,75120.0,12,1,15.35259267679398,4,0,0.7,4,49.2,1,Medium,14,0.0,1.0,0.0,0.0
68601237,2026-04-07 07:00:00,Closed,Street Condition,Pothole,STATEN ISLAND,HYLAN BOULEVARD,40.5742994837645,-74.10588777059375,2026-04-08 10:15:00,nan,23788.714285714286,38438.0,18,0,18.580069528645833,4,0,0.7,4,48.8,1,Medium,14,0.0,1.0,0.0,0.0
68521416,2026-03-31 14:07:20,Closed,Street Condition,Pothole,MANHATTAN,nan,40.72900831955276,-73.99374729799094,2026-03-31 14:07:20,nan,16591.571428571428,6876.0,17,1,25.283310269386575,0,0,0.7,3,48.0,1,Medium,14,0.0,0.999,0.001,0.0
68552410,2026-04-03 16:13:52,Open,Street Condition,Pothole,MANHATTAN,nan,40.75842923013922,-73.99263277459292,2026-04-04 04:25:00,nan,16591.571428571428,6876.0,39,1,22.195439899016204,0,0,0.7,4,47.6,2,High,7,0.0,0.387,0.613,0.0
68584646,2026-04-06 11:41:21,Closed,Street Condition,Pothole,STATEN ISLAND,FOREST AVENUE,40.624902985553085,-74.14349783307735,2026-04-21 11:00:00,nan,23788.714285714286,33854.0,17,0,19.384687584201387,4,0,0.7,4,47.5,1,Medium,14,0.0,1.0,0.0,0.0
68701070,2026-04-17 11:02:13,Open,Street Condition,Pothole,STATEN ISLAND,RICHMOND AVENUE,40.6162477356363,-74.15680277454403,,nan,23788.714285714286,75120.0,9,0,8.411863510127315,4,0,0.7,4,47.4,1,Medium,14,0.001,0.999,0.0,0.0
68574666,2026-04-06 15:26:02,Closed,Street Condition,Pothole,QUEENS,QUEENS BOULEVARD,40.74259292556646,-73.91376511458739,2026-04-06 15:26:02,nan,4959.1547619047615,123690.0,11,0,19.228657491608796,2,0,0.7,4,46.8,1,Medium,14,0.0,1.0,0.0,0.0
68543978,2026-04-02 08:45:38,Closed,Street Condition,Pothole,MANHATTAN,nan,40.76671457146749,-73.98287746335355,2026-04-02 08:45:38,nan,16591.571428571428,6876.0,36,0,23.50671304716435,0,0,0.7,4,46.8,1,Medium,14,0.0,0.998,0.002,0.0
68516690,2026-03-31 14:04:42,Closed,Street Condition,Pothole,MANHATTAN,nan,40.729579201247894,-73.9932601572899,2026-03-31 14:04:42,nan,16591.571428571428,6876.0,16,1,25.28513897309028,0,0,0.7,3,46.4,1,Medium,14,0.0,0.998,0.002,0.0
68517232,2026-03-31 16:15:44,Open,Street Condition,Pothole,MANHATTAN,WEST   30 STREET,40.74768339693813,-73.99056598682198,,nan,16591.571428571428,6876.0,56,1,25.194143602719908,0,0,0.7,3,46.3,1,Medium,14,0.0,0.996,0.004,0.0
68613654,2026-04-05 03:16:24,Closed,Street Condition,Pothole,QUEENS,QUEENS BOULEVARD,40.74259292556646,-73.91376511458739,2026-04-11 02:24:00,nan,4959.1547619047615,123690.0,11,0,20.73534730642361,2,0,0.7,4,46.2,1,Medium,14,0.0,1.0,0.0,0.0
68532347,2026-04-01 06:22:59,Open,Street Condition,Pothole,MANHATTAN,nan,40.75472742445424,-73.97787428590465,,nan,16591.571428571428,6876.0,30,1,24.605775547164356,0,0,0.7,4,45.9,2,High,7,0.0,0.306,0.694,0.0
